Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Absecon City,Atlantic,Absecon City Atlantic,2022,ACE,"34,457,582","29,574,442",NDA,"512,332","64,544,356",SJG,"5,347,248","2,610,608",NDA,NDA,"7,957,856"
Atlantic City,Atlantic,Atlantic City Atlantic,2022,ACE,"83,415,809","828,135,231","3,157","7,039,203","918,593,400",SJG,"12,793,448","78,310,906","12,557,655",NDA,"103,662,008"
Brigantine City,Atlantic,Brigantine City Atlantic,2022,ACE,"55,183,923","17,198,816","7,061","625,701","73,015,501",SJG,"8,126,379","4,480,168",NDA,NDA,"12,606,547"
Buena Boro,Atlantic,Buena Boro Atlantic,2022,ACE,"24,774,664","18,255,143","12,437,950","220,454","55,688,211",SJG,"2,309,957","1,179,858","225,163",NDA,"3,714,979"
Buena Vista Twp,Atlantic,Buena Vista Twp Atlantic,2022,ACE,"23,149,238","11,590,319","74,815","142,638","34,957,010",SJG,"2,774,502","635,354","101,696",NDA,"3,511,552"
Corbin City,Atlantic,Corbin City Atlantic,2022,ACE,"2,501,317","1,103,488",NDA,"18,092","3,622,897",SJG,"79,276","21,141",NDA,NDA,"100,417"
Egg Harbor City,Atlantic,Egg Harbor City Atlantic,2022,ACE,"18,551,160","14,468,780","3,826,949","397,742","37,244,631",SJG,"2,177,474","1,567,238","6,767",NDA,"3,751,478"
Egg Harbor Twp,Atlantic,Egg Harbor Twp Atlantic,2022,ACE,"115,272,317","122,231,326","4,639,274","954,205","243,097,122",SJG,"22,805,238","74,860,548","1,246,930",NDA,"98,912,715"
Estell Manor City,Atlantic,Estell Manor City Atlantic,2022,ACE,"6,916,487","2,080,452","110,560","8,022","9,115,521",SJG,"108,893","62,355",NDA,NDA,"171,248"
Folsom Boro,Atlantic,Folsom Boro Atlantic,2022,ACE,"3,924,121","4,355,235","1,389,996","66,225","9,735,577",SJG,"658,377","601,908","441,566",NDA,"1,701,852"
Galloway Twp,Atlantic,Galloway Twp Atlantic,2022,ACE,"105,794,776","170,664,148","513,021","635,545","277,607,490",SJG,"18,169,303","68,884,343","11,312",NDA,"87,064,958"
Hamilton Twp,Atlantic,Hamilton Twp (Atlantic) Atlantic,2022,ACE,"125,448,448","124,014,633","176,691","953,401","250,593,173",SJG,"11,114,546","8,687,499","18,629",NDA,"19,820,675"
Hammonton Town,Atlantic,Hammonton Town Atlantic,2022,ACE,"59,948,901","66,647,273","5,175,924","530,829","132,302,927",SJG,"6,859,384","5,245,313","46,632",NDA,"12,151,329"
Linwood City,Atlantic,Linwood City Atlantic,2022,ACE,"31,086,738","19,338,530","1,903","372,766","50,799,937",SJG,"5,214,952","1,794,890",NDA,NDA,"7,009,842"
Longport Boro,Atlantic,Longport Boro Atlantic,2022,ACE,"13,383,512","5,327,924","38,640","182,477","18,932,553",SJG,"2,217,674","201,034",NDA,NDA,"2,418,708"
Margate City,Atlantic,Margate City Atlantic,2022,ACE,"45,996,757","17,624,502",NDA,"554,599","64,175,858",SJG,"8,107,805","1,606,757",NDA,NDA,"9,714,562"
Mullica Twp,Atlantic,Mullica Twp Atlantic,2022,ACE,"21,011,031","6,443,438","55,003","84,305","27,593,777",SJG,"1,308,531","245,041","2,503",NDA,"1,556,075"
Northfield City,Atlantic,Northfield City Atlantic,2022,ACE,"27,580,612","28,475,863",NDA,"440,886","56,497,361",SJG,"5,250,717","2,197,984",NDA,NDA,"7,448,701"
Pleasantville City,Atlantic,Pleasantville City Atlantic,2022,ACE,"46,884,563","55,636,092","115,522","899,290","103,535,467",SJG,"8,820,181","4,946,186","1,356,567",NDA,"15,122,934"
Port Republic City,Atlantic,Port Republic City Atlantic,2022,ACE,"6,193,458","2,166,970",NDA,"63,581","8,424,009",SJG,"29,717",NDA,NDA,NDA,"29,717"
Somers Point City,Atlantic,Somers Point City Atlantic,2022,ACE,"32,759,418","53,787,329","103,920","390,354","87,041,021",SJG,"4,593,721","9,685,216",840,NDA,"14,279,778"
Ventnor City,Atlantic,Ventnor City Atlantic,2022,ACE,"41,510,932","21,726,754",NDA,"897,602","64,135,288",SJG,"7,622,737","8,895,675",NDA,NDA,"16,518,412"
Weymouth Twp,Atlantic,Weymouth Twp Atlantic,2022,ACE,"10,881,878","2,039,490","30,640","56,113","13,008,121",SJG,"327,287","19,453",NDA,NDA,"346,741"
Allendale Boro,Bergen,Allendale Boro Bergen,2022,RECO/PSEG,"12,492","16,215",NDA,NDA,"28,707",PSEG,"3,479,485","1,236,347","11,833",NDA,"4,727,665"
Alpine Boro,Bergen,Alpine Boro Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"2,166,979","126,780",NDA,NDA,"2,293,759"
Bergenfield Boro,Bergen,Bergenfield Boro Bergen,2022,PSEG,"68,191,328","27,212,244","696,691","1,128,933","97,229,196",PSEG,"7,322,232","2,530,297","60,816",NDA,"9,913,344"
Bogota Boro,Bergen,Bogota Boro Bergen,2022,PSEG,"21,621,681","8,053,741","583,920","391,383","30,650,725",PSEG,"2,358,561","784,713","36,618",NDA,"3,179,893"
Carlstadt Boro,Bergen,Carlstadt Boro Bergen,2022,PSEG,"16,236,096","267,556,807","101,754,272","640,233","386,187,408",PSEG,"1,868,243","4,406,667","2,621,156",NDA,"8,896,066"
Cliffside Park Boro,Bergen,Cliffside Park Boro Bergen,2022,PSEG,"72,133,945","45,324,282","77,110","1,115,669","118,651,006",PSEG,"4,941,048","2,867,060","164,759",NDA,"7,972,867"
Closter Boro,Bergen,Closter Boro Bergen,2022,RECO/PSEG,"4,323",NDA,NDA,NDA,"4,323",PSEG,"4,092,311","1,197,814","44,629",NDA,"5,334,754"
Cresskill Boro,Bergen,Cresskill Boro Bergen,2022,RECO/PSEG,"141,865","62,265",NDA,NDA,"204,130",PSEG,"4,213,680","537,603","16,453",NDA,"4,767,737"
