Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Absecon City,Atlantic,2016,ACE,"35,064,773","33,972,514",NDA,"472,165","69,509,452",SJG,"4,656,257","2,821,349",NDA,NDA,"7,477,606"
Absecon City,Atlantic,2017,ACE,"32,920,965","33,410,425",NDA,"497,739","66,829,129",SJG,"4,643,213","2,820,496",NDA,NDA,"7,463,709"
Absecon City,Atlantic,2018,ACE,"35,642,558","32,764,562",NDA,"501,692","68,908,812",SJG,"5,604,410","3,169,387",NDA,NDA,"8,773,797"
Absecon City,Atlantic,2019,ACE,"34,315,354","31,774,466",NDA,"512,358","66,602,178",SJG,"5,247,304","2,794,357",NDA,NDA,"8,041,662"
Absecon City,Atlantic,2020,ACE,"34,737,469","27,957,231",NDA,"510,447","63,205,147",SJG,"4,933,824","2,251,024",NDA,NDA,"7,184,847"
Absecon City,Atlantic,2021,ACE,"34,951,610","29,448,480",NDA,"509,508","64,909,598",SJG,"5,071,054","2,512,115",NDA,NDA,"7,583,170"
Absecon City,Atlantic,2022,ACE,"34,457,582","29,574,442",NDA,"512,332","64,544,356",SJG,"5,347,248","2,610,608",NDA,NDA,"7,957,856"
Atlantic City,Atlantic,2016,ACE,"82,893,821","808,899,651","32,989","7,245,867","899,072,328",SJG,"12,045,574","70,392,995","21,498,997",NDA,"103,937,565"
Atlantic City,Atlantic,2017,ACE,"78,345,565","769,716,943","18,211","7,309,299","855,390,018",SJG,"11,865,140","68,035,630","21,792,069",NDA,"101,692,839"
Atlantic City,Atlantic,2018,ACE,"84,301,307","832,734,057","6,490","7,313,138","924,354,992",SJG,"13,754,335","74,127,872","20,935,178",NDA,"108,817,384"
Atlantic City,Atlantic,2019,ACE,"81,804,631","846,179,508","5,032","7,342,690","935,331,861",SJG,"12,796,891","77,324,138","21,116,358",NDA,"111,237,387"
Atlantic City,Atlantic,2020,ACE,"84,330,462","684,943,780","4,645","7,297,077","776,575,964",SJG,"11,908,988","71,421,373","14,911,482",NDA,"98,241,843"
Atlantic City,Atlantic,2021,ACE,"85,512,179","925,453,428","4,500","7,271,156","1,018,241,263",SJG,"12,686,295","79,764,508","12,134,918",NDA,"104,585,720"
Atlantic City,Atlantic,2022,ACE,"83,415,809","828,135,231","3,157","7,039,203","918,593,400",SJG,"12,793,448","78,310,906","12,557,655",NDA,"103,662,008"
Brigantine City,Atlantic,2016,ACE,"57,961,074","19,111,200","8,321","620,923","77,701,518",SJG,"7,149,029","4,970,668",NDA,NDA,"12,119,697"
Brigantine City,Atlantic,2017,ACE,"53,773,877","18,710,730","8,207","620,771","73,113,585",SJG,"7,021,539","4,742,443",NDA,NDA,"11,763,982"
Brigantine City,Atlantic,2018,ACE,"60,330,307","19,165,909","8,608","618,969","80,123,793",SJG,"8,812,937","4,947,781",NDA,NDA,"13,760,718"
Brigantine City,Atlantic,2019,ACE,"57,385,734","18,553,455","7,636","625,769","76,572,594",SJG,"7,939,439","4,636,796",NDA,NDA,"12,576,235"
Brigantine City,Atlantic,2020,ACE,"57,919,246","16,803,520","5,969","628,998","75,357,733",SJG,"7,091,050","4,306,972",NDA,NDA,"11,398,023"
Brigantine City,Atlantic,2021,ACE,"57,323,709","17,456,226","5,108","624,472","75,409,515",SJG,"7,846,776","4,269,430",NDA,NDA,"12,116,207"
Brigantine City,Atlantic,2022,ACE,"55,183,923","17,198,816","7,061","625,701","73,015,501",SJG,"8,126,379","4,480,168",NDA,NDA,"12,606,547"
Buena Borough,Atlantic,2016,ACE,"25,856,252","16,513,592","12,007,739","217,534","54,595,117",SJG,"2,074,813","889,452","166,572",NDA,"3,130,837"
Buena Borough,Atlantic,2017,ACE,"24,048,935","15,898,472","12,509,408","218,305","52,675,120",SJG,"2,015,187","862,777","202,854",NDA,"3,080,818"
Buena Borough,Atlantic,2018,ACE,"25,395,314","16,626,244","14,434,995","220,421","56,676,974",SJG,"2,423,487","1,058,768","320,149",NDA,"3,802,405"
Buena Borough,Atlantic,2019,ACE,"24,114,796","15,652,987","14,953,190","220,469","54,941,442",SJG,"2,295,471","1,229,086","229,469",NDA,"3,754,026"
Buena Borough,Atlantic,2020,ACE,"23,561,511","15,071,547","15,107,855","220,453","53,961,366",SJG,"2,046,663","1,100,111","211,705",NDA,"3,358,479"
Buena Borough,Atlantic,2021,ACE,"24,795,778","16,668,862","12,868,367","220,435","54,553,442",SJG,"2,325,314","1,238,817","223,468",NDA,"3,787,599"
Buena Borough,Atlantic,2022,ACE,"24,774,664","18,255,143","12,437,950","220,454","55,688,211",SJG,"2,309,957","1,179,858","225,163",NDA,"3,714,979"
Buena Vista Township,Atlantic,2016,ACE,"24,827,256","7,051,400","672,705","267,263","32,818,624",SJG,"2,306,469","526,789","137,388",NDA,"2,970,646"
Buena Vista Township,Atlantic,2017,ACE,"22,410,772","6,875,384","1,256,074","151,982","30,694,212",SJG,"2,261,001","509,168","124,854",NDA,"2,895,023"
Buena Vista Township,Atlantic,2018,ACE,"24,108,185","8,283,798","3,678,302","142,059","36,212,344",SJG,"2,799,582","645,483","207,080",NDA,"3,652,145"
Buena Vista Township,Atlantic,2019,ACE,"22,854,566","7,611,769","5,016,332","142,260","35,624,927",SJG,"2,650,258","782,866","124,742",NDA,"3,557,866"
Buena Vista Township,Atlantic,2020,ACE,"22,944,098","7,288,857","5,670,228","142,274","36,045,457",SJG,"2,496,936","675,630","109,109",NDA,"3,281,675"
