OBJECTID,GEOID,POVUNIVERSE,POPUNDER2XPOV,LOW_INCOME_PCT,TOTALPOP,NONHISPWHITE,TOTALMINORITY,MINORITY_PCT,TOTHH,TOTLANGUAGEISO,PCTLINGUAGEISO,OVERBURDENED_COMMUNITY_CRITERI,BG_TRIBAL,GEOID_COUNTYSUBDIVISION,COUNTY,NAME,MUN_CODE,SPLIT_BG,SPLIT_MUN,GLOBALID,Shape__Area,Shape__Length
1,340010001001,931,585,62.83566058,947,94,853,90.07391763,330,51,15.45454545,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,1baf1194-48c9-42c0-82c2-cfdb9374a896,10712127.4352264,13286.6713974793
2,340010001002,1217,601,49.38373048,1217,437,780,64.09202958,506,51,10.07905138,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,b5459fa4-2a25-4f2e-a2e7-be36dcc055ec,12655092.9165268,17681.0746657693
3,340010002001,2147,1028,47.88076386,2147,470,1677,78.10898929,741,187,25.23616734,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,83354d44-29d4-46f0-8448-6c497d17e626,9261212.74825287,15404.4353463722
4,340010002002,422,149,35.30805687,422,154,268,63.507109,230,91,39.56521739,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,872fd827-1340-4bf4-9feb-1e7f9f4c981b,1722495.28624725,7958.92307051206
5,340010011001,1232,549,44.56168831,1232,86,1146,93.01948052,671,34,5.06706408,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,195f5eaf-9d69-49d8-8743-64c6823f01f6,1507139.11747742,5360.3023606257
6,340010013002,1239,420,33.89830508,1239,102,1137,91.76755448,565,14,2.47787611,Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,cbd45d84-9c16-4877-a756-f138f4fae90a,298879969.154877,92181.4517265055
7,340010003001,1120,652,58.21428571,1120,66,1054,94.10714286,418,115,27.51196172,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,a257e630-096f-4bb6-adba-494880fc177d,1715035.1437912,6284.62176578634
8,340010003002,2838,2044,72.02255109,2838,13,2825,99.54193094,664,278,41.86746988,"Low Income, Minority, and Limited English",Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,a1c587ed-49d2-4849-97d9-26efb75fcc63,1215031.5840683,5076.60481901673
9,340010003003,626,296,47.28434505,626,148,478,76.35782748,359,98,27.29805014,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,578e6962-27d7-43fb-97fc-87ddd84a2665,1492873.1622467,4823.92224478587
10,340010005001,802,526,65.58603491,802,127,675,84.16458853,254,28,11.02362205,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,7898b627-a82f-473a-a783-ac11e857a104,1294018.67505646,4981.03953891591
11,340010005002,1792,1096,61.16071429,1792,144,1648,91.96428571,676,120,17.75147929,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,5ec3a602-9c7d-476e-9df8-995739c22f08,2509992.29161072,7806.45292095732
12,340010011002,602,320,53.15614618,602,32,570,94.68438538,506,28,5.53359684,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,e275078b-54cd-42e4-85d3-64dc0597b393,1607297.78022003,5082.76333559852
13,340010012002,872,342,39.22018349,872,60,812,93.11926606,509,0,0,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,1ed51547-2203-4d0b-a05a-f5ce3bf9731b,7240200.29872131,15177.2402742465
14,340010012003,463,431,93.08855292,463,44,419,90.49676026,127,67,52.75590551,"Low Income, Minority, and Limited English",Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,698dbcda-96f1-49f7-9e82-47179efdfa9f,4811884.31723022,9928.46495577527
15,340010004001,1146,696,60.73298429,1271,707,564,44.37450826,684,79,11.5497076,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,cfff14d4-a303-4490-9038-65abb8329281,3178817.2159729,8044.90514879302
16,340010013001,466,111,23.81974249,466,18,448,96.13733906,232,0,0,Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,169a5275-51e1-4d3b-8483-32a0fb9fde6a,4464054.43567657,12197.5673960221
