Year,County,Total:,"    Bottled, tank, or LP gas",    Coal or coke,    Electricity,"    Fuel oil, kerosene, etc.",    No fuel used,    Other fuel,    Solar energy,    Utility gas,    Wood,Latitude,Longitude
2010,Atlantic County,"100,096","3,478",0,"15,013","11,042",523,230,180,"68,622","1,008",39.533,-74.646
2010,Bergen County,"333,002","3,234",0,"28,278","24,396",423,629,0,"275,586",456,40.959,-74.074
2010,Burlington County,"163,961","3,880",42,"24,427","21,931",190,205,0,"112,267","1,019",39.855,-74.686
2010,Camden County,"189,895","1,795",0,"23,730","17,301",406,817,46,"145,423",377,39.809,-74.963
2010,Cape May County,"42,763","6,222",0,"8,927","4,472",233,112,0,"22,036",761,39.105,-74.827
2010,Cumberland County,"50,237","2,133",31,"4,595","15,860",175,385,15,"26,544",499,39.371,-75.056
2010,Essex County,"275,417","4,325",119,"23,549","30,361",588,816,0,"215,616",43,40.794,-74.264
2010,Gloucester County,"104,782","2,301",35,"12,112","16,342",128,552,0,"72,368",944,39.71,-75.107
2010,Hudson County,"238,692","3,452",0,"37,833","21,378","1,141",512,0,"174,376",0,40.735,-74.045
2010,Hunterdon County,"47,550","4,586",193,"4,491","17,690",20,116,0,"18,867","1,587",40.566,-74.974
2010,Mercer County,"131,500","1,560",0,"17,117","16,854",720,845,0,"94,325",79,40.28,-74.722
2010,Middlesex County,"278,877","2,756",0,"25,687","18,442",838,481,0,"230,623",50,40.436,-74.407
2010,Monmouth County,"234,582","1,867",78,"24,183","16,550",421,351,0,"190,681",451,40.312,-74.12
2010,Morris County,"177,786","3,513",0,"15,434","41,418",273,651,0,"116,026",471,40.86,-74.545
2010,New Jersey,"3,172,421","63,241",676,"343,112","392,540","7,747","8,439",325,"2,344,455","11,886",39.833851,-74.871826
2010,Ocean County,"220,972","2,706",0,"34,019","19,106",506,101,0,"163,949",585,39.965,-74.196
2010,Passaic County,"161,527","2,363",0,"8,884","12,742",672,430,0,"136,233",203,41.032,-74.304
2010,Salem County,"24,898","1,420",0,"2,788","10,081",17,0,43,"9,848",701,39.587,-75.363
2010,Somerset County,"115,913","1,262",0,"9,629","10,749",115,180,0,"93,926",52,40.566,-74.624
2010,Sussex County,"54,881","6,649",98,"6,862","30,234",57,450,0,"8,924","1,607",41.128,-74.663
2010,Union County,"183,882","1,418",0,"12,028","20,805",270,281,41,"148,967",72,40.659,-74.31
2010,Warren County,"41,208","2,321",80,"3,526","14,786",31,295,0,"19,248",921,40.847,-75
2011,Atlantic County,"99,762","1,646",0,"14,736","10,257",750,295,20,"70,485","1,573",39.533,-74.646
2011,Bergen County,"329,544","2,199",0,"29,500","24,126",955,757,0,"271,868",139,40.959,-74.074
2011,Burlington County,"164,760","3,378",36,"25,271","19,911",221,116,0,"114,958",869,39.855,-74.686
2011,Camden County,"185,691","2,285",0,"18,963","17,875",452,447,34,"145,193",442,39.809,-74.963
2011,Cape May County,"41,082","4,101",0,"10,371","3,185",201,46,0,"22,887",291,39.105,-74.827
2011,Cumberland County,"49,716","1,431",8,"4,892","15,277",0,164,0,"27,043",901,39.371,-75.056
2011,Essex County,"273,399","3,293",0,"26,623","30,236","1,090",737,41,"211,379",0,40.794,-74.264
2011,Gloucester County,"103,725","2,149",0,"10,190","14,785",219,392,0,"75,313",677,39.71,-75.107
2011,Hudson County,"243,850","4,447",0,"45,775","18,222","1,275",471,93,"173,567",0,40.735,-74.045
2011,Hunterdon County,"46,741","4,452",18,"3,894","18,816",69,180,0,"18,325",987,40.566,-74.974
2011,Mercer County,"130,756","1,396",85,"19,168","15,968",142,618,0,"93,308",71,40.28,-74.722
2011,Middlesex County,"278,920","2,784",0,"25,584","17,955",547,604,0,"231,109",337,40.436,-74.407
2011,Monmouth County,"231,198","2,863",0,"24,125","17,297",531,232,30,"185,775",345,40.312,-74.12
2011,Morris County,"182,745","4,025",125,"17,630","41,917",545,669,37,"117,353",444,40.86,-74.545
2011,New Jersey,"3,167,629","58,315",750,"360,855","376,568","8,415","7,917",332,"2,342,608","11,869",39.833851,-74.871826
2011,Ocean County,"222,079","2,661",0,"30,931","15,824",410,477,0,"170,804",972,39.965,-74.196
2011,Passaic County,"163,192","2,701",0,"11,165","11,605",240,112,0,"137,031",338,41.032,-74.304
2011,Salem County,"24,656","1,620",15,"3,007","9,017",30,70,0,"9,872","1,025",39.587,-75.363
2011,Somerset County,"114,323","1,358",0,"8,875","8,492",179,128,0,"95,153",138,40.566,-74.624
2011,Sussex County,"54,746","5,793",311,"8,290","30,666",53,480,0,"8,174",979,41.128,-74.663
2011,Union County,"184,598","1,543",0,"18,455","19,486",506,825,52,"143,731",0,40.659,-74.31
2011,Warren County,"42,146","2,190",152,"3,410","15,651",0,97,25,"19,280","1,341",40.847,-75
2012,Atlantic County,"100,065","2,614",22,"14,637","9,801",160,462,89,"70,768","1,512",39.533,-74.646
2012,Bergen County,"336,856","3,971",0,"27,539","21,290","1,274",900,21,"281,559",302,40.959,-74.074
2012,Burlington County,"164,819","3,055",24,"28,043","20,773",471,316,200,"110,836","1,101",39.855,-74.686
2012,Camden County,"185,477","1,123",144,"23,969","14,495",269,254,70,"144,656",497,39.809,-74.963
2012,Cape May County,"40,470","4,866",0,"9,263","2,989",126,233,6,"22,625",362,39.105,-74.827
2012,Cumberland County,"50,068","1,677",7,"4,125","14,835",28,338,0,"28,283",775,39.371,-75.056
2012,Essex County,"279,102","4,438",0,"36,403","28,563","1,235",674,0,"207,711",78,40.794,-74.264
2012,Gloucester County,"104,691","2,497",0,"9,491","14,308",84,219,0,"77,066","1,026",39.71,-75.107
2012,Hudson County,"249,028","4,095",100,"45,661","17,737","1,054","1,157",50,"179,125",49,40.735,-74.045
2012,Hunterdon County,"47,227","3,392",201,"3,640","18,953",37,313,204,"19,870",617,40.566,-74.974
2012,Mercer County,"132,004","2,209",0,"16,682","13,586",53,596,47,"98,537",294,40.28,-74.722
2012,Middlesex County,"283,337","2,602",0,"30,383","15,753",732,180,37,"233,395",255,40.436,-74.407
2012,Monmouth County,"236,447","2,258",0,"29,800","14,423",462,717,211,"188,040",536,40.312,-74.12
2012,Morris County,"179,876","4,359",224,"16,220","38,935",280,872,0,"117,847","1,139",40.86,-74.545
2012,New Jersey,"3,198,799","60,990","1,107","377,997","356,378","8,240","10,889","1,002","2,368,222","13,974",39.833851,-74.871826
2012,Ocean County,"223,599","2,781",194,"32,760","15,268",372,462,0,"170,803",959,39.965,-74.196
2012,Passaic County,"163,712","2,016",0,"12,236","12,119",539,338,67,"135,740",657,41.032,-74.304
2012,Salem County,"24,861","1,590",0,"2,529","10,224",159,599,0,"9,327",433,39.587,-75.363
2012,Somerset County,"116,840",957,124,"11,242","9,379",81,303,0,"94,489",265,40.566,-74.624
2012,Sussex County,"54,179","6,117",0,"6,231","29,481",107,880,0,"9,277","2,086",41.128,-74.663
2012,Union County,"184,879","2,574",0,"12,197","19,113",580,766,0,"149,543",106,40.659,-74.31
2012,Warren County,"41,262","1,799",67,"4,946","14,353",137,310,0,"18,725",925,40.847,-75
2013,Atlantic County,"101,721","3,242",16,"16,176","10,117",427,640,38,"69,426","1,639",39.533,-74.646
2013,Bergen County,"338,063","4,253",0,"30,891","21,009",952,747,0,"279,816",395,40.959,-74.074
2013,Burlington County,"162,245","2,899",45,"26,791","17,269",349,232,177,"113,193","1,290",39.855,-74.686
2013,Camden County,"185,774","1,492",175,"23,061","12,447",712,846,77,"146,403",561,39.809,-74.963
2013,Cape May County,"38,210","3,645",0,"8,000","2,822",126,216,85,"22,828",488,39.105,-74.827
2013,Cumberland County,"50,066","1,171",41,"5,060","12,795",82,79,36,"29,834",968,39.371,-75.056
2013,Essex County,"277,102","4,709",0,"37,866","24,005","1,233",842,52,"208,283",112,40.794,-74.264
2013,Gloucester County,"103,864","2,642",0,"10,238","15,993",96,256,73,"73,309","1,257",39.71,-75.107
2013,Hudson County,"247,490","4,449",57,"44,439","16,393","1,996","1,898",0,"178,216",42,40.735,-74.045
2013,Hunterdon County,"45,792","4,197",47,"3,079","16,951",87,321,82,"19,288","1,740",40.566,-74.974
2013,Mercer County,"131,623","1,836",0,"19,676","11,693",586,433,0,"96,827",572,40.28,-74.722
2013,Middlesex County,"283,211","3,384",146,"32,598","15,277","1,944",701,0,"228,707",454,40.436,-74.407
2013,Monmouth County,"232,158","3,129",107,"28,919","14,816",342,541,510,"182,970",824,40.312,-74.12
2013,Morris County,"178,951","3,756",0,"15,929","37,779",496,303,0,"119,354","1,334",40.86,-74.545
2013,New Jersey,"3,176,139","60,943",843,"388,226","329,733","12,169","10,710","1,270","2,354,824","17,421",39.833851,-74.871826
2013,Ocean County,"217,698","1,955",59,"32,176","12,749",311,600,140,"168,788",920,39.965,-74.196
2013,Passaic County,"161,331","2,174",48,"11,313","9,743",315,454,0,"136,610",674,41.032,-74.304
2013,Salem County,"24,280","1,467",0,"3,824","7,986",82,218,0,"9,823",880,39.587,-75.363
2013,Somerset County,"112,974",762,0,"11,343","7,620",336,185,0,"92,686",42,40.566,-74.624
2013,Sussex County,"54,765","5,676",66,"7,160","30,527",215,428,0,"8,497","2,196",41.128,-74.663
2013,Union County,"186,951","2,143",0,"14,589","14,776","1,335",376,0,"153,604",128,40.659,-74.31
2013,Warren County,"41,870","1,962",36,"5,098","16,966",147,394,0,"16,362",905,40.847,-75
2014,Atlantic County,"101,937","3,025",120,"16,066","9,061","1,048",598,85,"70,819","1,115",39.533,-74.646
2014,Bergen County,"337,469","4,117",312,"31,124","18,423","1,345","1,151",0,"280,464",533,40.959,-74.074
2014,Burlington County,"165,424","2,838",113,"26,612","16,495",768,871,336,"116,007","1,384",39.855,-74.686
2014,Camden County,"188,064","1,843",0,"20,587","12,158",445,"1,452",59,"151,407",113,39.809,-74.963
2014,Cape May County,"40,779","3,154",0,"9,471","2,854",153,504,44,"24,145",454,39.105,-74.827
2014,Cumberland County,"50,593","1,221",99,"4,915","12,849",0,43,75,"30,509",882,39.371,-75.056
2014,Essex County,"277,735","4,068",0,"32,489","24,326","2,110",860,127,"213,661",94,40.794,-74.264
2014,Gloucester County,"104,305","2,470",0,"11,186","13,725",337,401,0,"75,268",918,39.71,-75.107
2014,Hudson County,"253,300","5,246",100,"45,084","14,600","2,587","1,381",61,"184,182",59,40.735,-74.045
2014,Hunterdon County,"47,387","4,057",131,"4,471","18,168",0,559,207,"18,781","1,013",40.566,-74.974
2014,Mercer County,"131,564","1,103",0,"17,438","12,454",563,792,24,"99,099",91,40.28,-74.722
2014,Middlesex County,"282,860","3,139",41,"31,854","13,272",823,501,118,"232,878",234,40.436,-74.407
2014,Monmouth County,"230,391","2,379",0,"29,527","13,575",481,679,85,"183,125",540,40.312,-74.12
2014,Morris County,"179,654","4,738",38,"17,866","35,214",183,790,191,"119,975",659,40.86,-74.545
2014,New Jersey,"3,194,844","62,396","1,705","384,329","309,236","13,579","13,957","1,748","2,393,423","14,471",39.833851,-74.871826
2014,Ocean County,"220,941","2,687",260,"32,343","10,539",787,722,177,"172,367","1,059",39.965,-74.196
2014,Passaic County,"159,309","2,644",35,"14,277","9,733",342,290,0,"131,370",618,41.032,-74.304
2014,Salem County,"23,832","1,848",58,"2,616","8,001",85,174,60,"10,319",671,39.587,-75.363
2014,Somerset County,"117,482","1,011",0,"11,266","7,001",90,196,0,"97,722",196,40.566,-74.624
2014,Sussex County,"54,174","6,111",184,"7,659","28,394",33,817,99,"8,738","2,139",41.128,-74.663
2014,Union County,"186,037","2,719",37,"13,738","13,147","1,360",186,0,"154,776",74,40.659,-74.31
2014,Warren County,"41,607","1,978",177,"3,740","15,247",39,990,0,"17,811","1,625",40.847,-75
2015,Atlantic County,"101,813","2,746",0,"14,034","7,654",389,"1,013",233,"74,553","1,191",39.533,-74.646
2015,Bergen County,"336,675","5,243",101,"35,442","18,944","1,135","1,147",79,"274,197",387,40.959,-74.074
2015,Burlington County,"163,505","3,367",15,"25,742","15,582",966,328,498,"115,737","1,270",39.855,-74.686
2015,Camden County,"185,113","1,499",71,"23,800","14,335",503,467,114,"144,146",178,39.809,-74.963
2015,Cape May County,"38,708","2,779",0,"7,796","2,474",42,219,0,"24,937",461,39.105,-74.827
2015,Cumberland County,"50,380","1,388",0,"5,239","11,158",108,193,55,"31,268",971,39.371,-75.056
2015,Essex County,"279,874","4,541",0,"38,736","19,584","1,740","1,368",0,"213,839",66,40.794,-74.264
2015,Gloucester County,"103,876","1,799",0,"10,851","14,285",203,340,0,"75,797",601,39.71,-75.107
2015,Hudson County,"255,508","3,692",49,"47,296","13,112","2,105","1,055",54,"188,145",0,40.735,-74.045
2015,Hunterdon County,"47,057","4,460",76,"3,426","17,645",0,244,0,"20,316",890,40.566,-74.974
2015,Mercer County,"127,965","1,216",0,"16,553","10,660",758,470,85,"98,105",118,40.28,-74.722
2015,Middlesex County,"280,855","4,185",40,"27,105","12,111","1,130",558,110,"235,305",311,40.436,-74.407
2015,Monmouth County,"234,365","2,529",0,"27,385","12,101",918,880,0,"189,950",602,40.312,-74.12
2015,Morris County,"179,480","3,473",37,"15,043","33,954",799,"1,114",50,"124,171",839,40.86,-74.545
2015,New Jersey,"3,187,963","61,082",821,"385,792","299,222","13,402","12,721","1,781","2,398,744","14,398",39.833851,-74.871826
2015,Ocean County,"222,497","2,565",123,"32,193","14,532",215,"1,055",242,"170,148","1,424",39.965,-74.196
2015,Passaic County,"157,309","3,220",196,"15,879","10,257",599,320,65,"126,359",414,41.032,-74.304
2015,Salem County,"22,747","1,093",0,"2,891","8,518",38,199,60,"9,144",804,39.587,-75.363
