Year,County,Total:,    Built 1939 or earlier,    Built 1940 to 1949,    Built 1950 to 1959,    Built 1960 to 1969,    Built 1970 to 1979,    Built 1980 to 1989,    Built 1990 to 1999,    Built 2000 to 2004,    Built 2000 to 2009,    Built 2005 or later,    Built 2010 or later,    Built 2010 to 2013,    Built 2010 to 2019,    Built 2014 or later,    Built 2020 or later
2010,Atlantic County   ,"126,723","16,682","9,039","14,075","17,121","21,571","18,981","11,617","11,024",,"6,613",,,,,
2010,Bergen County   ,"352,412","70,203","42,619","79,921","60,030","37,171","25,881","16,476","11,933",,"8,178",,,,,
2010,Burlington County   ,"175,728","21,762","5,882","22,053","26,454","32,414","25,213","23,740","11,492",,"6,718",,,,,
2010,Camden County   ,"205,000","35,841","22,506","32,517","28,801","38,225","22,256","13,317","6,179",,"5,358",,,,,
2010,Cape May County   ,"98,373","15,701","5,646","12,045","10,390","12,085","16,446","9,782","13,139",,"3,139",,,,,
2010,Cumberland County   ,"55,856","11,519","3,588","8,321","9,238","6,700","6,180","5,005","2,283",,"3,022",,,,,
2010,Essex County   ,"312,960","90,405","45,015","52,724","38,549","25,449","18,181","15,742","17,187",,"9,708",,,,,
2010,Gloucester County   ,"109,949","11,647","7,157","10,910","13,074","20,080","15,016","14,859","9,534",,"7,672",,,,,
2010,Hudson County   ,"270,578","106,040","25,070","30,902","27,954","22,122","14,720","13,649","15,554",,"14,567",,,,,
2010,Hunterdon County   ,"49,534","9,189","2,064","4,218","4,508","7,182","9,826","7,509","3,470",,"1,568",,,,,
2010,Mercer County   ,"143,178","31,299","11,580","21,441","19,554","17,467","15,531","12,858","8,772",,"4,676",,,,,
2010,Middlesex County   ,"294,936","31,913","20,830","57,997","46,085","34,087","45,212","31,848","15,350",,"11,614",,,,,
2010,Monmouth County   ,"258,532","39,245","15,222","35,470","38,493","34,120","37,910","31,710","15,679",,"10,683",,,,,
2010,Morris County   ,"189,928","25,941","10,346","27,712","30,761","29,758","25,872","22,822","10,383",,"6,333",,,,,
2010,New Jersey Total,"3,554,909","650,308","321,057","559,940","497,442","466,371","406,337","315,958","206,562",,"130,934",,,,,
2010,Ocean County   ,"278,161","14,596","11,753","31,484","40,582","59,122","49,526","33,614","25,918",,"11,566",,,,,
2010,Passaic County   ,"175,943","35,944","36,442","34,746","27,181","14,174","9,317","8,214","5,729",,"4,196",,,,,
2010,Salem County   ,"27,443","5,898","2,923","3,569","3,861","4,181","2,485","1,462","1,728",,"1,336",,,,,
2010,Somerset County   ,"123,181","13,441","6,842","16,576","14,826","12,420","22,434","23,472","7,327",,"5,843",,,,,
2010,Sussex County   ,"62,081","9,681","5,261","7,752","6,643","10,574","9,403","6,099","4,483",,"2,185",,,,,
2010,Union County   ,"199,474","42,653","28,957","50,929","28,111","20,305","11,009","7,274","5,366",,"4,870",,,,,
2010,Warren County   ,"44,939","10,708","2,315","4,578","5,226","7,164","4,938","4,889","4,032",,"1,089",,,,,
2011,Atlantic County   ,"126,784","18,978","5,676","15,441","15,579","18,450","21,664","10,058","12,995",,"7,943",,,,,
2011,Bergen County   ,"352,496","76,962","39,651","79,682","53,923","30,292","24,803","20,339","15,710",,"11,134",,,,,
2011,Burlington County   ,"176,106","18,096","6,213","23,523","27,545","32,284","25,200","22,401","12,809",,"8,035",,,,,
2011,Camden County   ,"204,920","40,277","19,027","32,822","28,772","34,130","22,324","14,875","6,432",,"6,261",,,,,
2011,Cape May County   ,"98,025","15,793","5,067","11,148","10,402","14,962","15,109","8,984","14,009",,"2,551",,,,,
2011,Cumberland County   ,"55,933","9,747","4,303","7,086","9,938","8,085","6,433","3,514","3,605",,"3,222",,,,,
2011,Essex County   ,"312,964","96,650","50,266","48,697","40,266","25,833","15,605","13,434","13,275",,"8,938",,,,,
2011,Gloucester County   ,"110,827","11,832","5,529","14,406","12,454","18,801","14,793","14,214","10,331",,"8,467",,,,,
2011,Hudson County   ,"272,793","98,455","27,551","25,269","31,791","23,377","16,694","14,101","14,415",,"21,140",,,,,
2011,Hunterdon County   ,"49,724","9,361","1,754","4,331","4,328","8,311","9,840","6,005","3,736",,"2,058",,,,,
2011,Mercer County   ,"143,392","29,908","12,903","22,065","19,397","15,107","17,294","12,571","9,364",,"4,783",,,,,
2011,Middlesex County   ,"296,102","33,760","19,821","60,970","47,104","33,322","42,561","33,774","12,352",,"12,438",,,,,
2011,Monmouth County   ,"259,015","36,993","13,176","34,682","38,161","38,368","38,195","29,353","18,143",,"11,944",,,,,
2011,Morris County   ,"190,653","28,266","13,718","26,564","31,451","27,935","22,062","22,239","12,044",,"6,374",,,,,
2011,New Jersey Total,"3,562,720","662,996","308,848","566,335","498,470","451,439","401,599","311,047","215,012",,"146,974",,,,,
2011,Ocean County   ,"278,853","14,680","9,091","35,577","43,237","53,267","48,396","35,615","25,315",,"13,675",,,,,
2011,Passaic County   ,"176,276","41,133","32,655","37,408","23,195","12,941","11,636","9,083","5,087",,"3,138",,,,,
2011,Salem County   ,"27,464","7,559","1,698","3,793","3,033","4,160","2,615","2,330","1,271",,"1,005",,,,,
2011,Somerset County   ,"123,515","13,236","7,347","15,378","14,960","16,225","23,145","19,555","9,600",,"4,069",,,,,
2011,Sussex County   ,"62,267","8,147","4,153","7,510","10,120","12,405","8,016","4,847","3,926",,"3,143",,,,,
2011,Union County   ,"199,702","41,679","26,998","55,542","28,322","16,392","9,976","8,094","7,657",,"5,042",,,,,
