Year,County,Total:,"    $10,000 to $14,999","    $100,000 to $124,999","    $125,000 to $149,999","    $15,000 to $19,999","    $150,000 to $199,999","    $20,000 to $24,999","    $200,000 or more","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $44,999","    $45,000 to $49,999","    $50,000 to $59,999","    $60,000 to $74,999","    $75,000 to $99,999","    Less than $10,000"
2010,Atlantic,"100,096","5,596","6,916","4,043","4,627","5,416","5,821","2,875","4,992","6,018","5,054","4,693","3,667","8,281","11,324","13,709","7,064"
2010,Bergen,"333,002","12,370","33,048","23,586","12,622","34,456","11,965","38,480","12,723","11,030","10,606","12,421","10,403","22,560","30,597","40,999","15,136"
2010,Burlington,"163,961","4,370","17,747","11,724","4,616","15,685","4,962","12,272","6,559","5,912","5,261","6,965","8,408","13,137","17,185","23,909","5,249"
2010,Camden,"189,895","10,790","17,950","9,789","8,892","9,815","8,341","8,449","11,102","7,925","8,994","7,220","7,927","15,046","19,441","26,033","12,181"
2010,Cape May,"42,763","2,469","4,110","2,495","2,874","1,793","1,846","2,355","2,363","1,891","2,053","1,921","2,164","3,353","3,943","5,084","2,049"
2010,Cumberland,"50,237","3,600","4,493","2,670","3,260","1,774","3,114","1,309","2,416","1,657","2,028","1,841","1,881","4,665","5,190","6,110","4,229"
2010,Essex,"275,417","16,478","20,334","11,946","12,622","14,778","15,666","21,558","13,458","12,261","11,034","11,692","9,909","20,813","23,363","31,262","28,243"
2010,Gloucester,"104,782","4,137","10,650","6,309","4,957","8,685","3,194","5,959","3,779","3,705","3,067","3,754","4,470","8,013","11,739","17,235","5,129"
2010,Hudson,"238,692","14,462","17,871","13,433","12,738","11,757","11,414","15,715","9,765","10,768","10,139","11,283","8,346","19,489","25,287","26,814","19,411"
2010,Hunterdon,"47,550","1,109","6,647","3,933","1,704","5,402","1,372","7,594","1,520","1,518","1,037",775,984,"2,872","3,611","6,390","1,082"
2010,Mercer,"131,500","5,520","13,838","8,989","4,498","11,002","6,206","12,583","4,842","6,366","4,881","4,515","3,672","9,466","12,122","15,667","7,333"
2010,Middlesex,"278,877","8,634","37,598","22,043","10,320","23,338","10,643","17,863","8,303","9,181","8,697","9,183","10,133","20,666","31,357","41,574","9,344"
2010,Monmouth,"234,582","7,916","25,901","17,421","9,961","23,299","10,319","28,341","8,588","8,191","6,853","7,923","6,329","16,095","18,409","30,287","8,749"
2010,Morris,"177,786","3,562","17,791","15,796","5,077","20,542","5,521","26,102","4,836","5,610","4,351","4,823","6,091","9,617","17,660","25,266","5,141"
2010,Ocean,"220,972","10,035","22,012","11,846","12,232","11,900","12,303","8,367","10,182","10,739","10,325","11,007","8,971","17,738","22,600","30,151","10,564"
2010,Passaic,"161,527","7,604","14,989","9,138","8,241","10,658","9,045","7,475","9,448","7,555","6,468","6,335","6,339","11,626","14,431","17,637","14,538"
2010,Salem,"24,898","1,007","2,893","1,222","1,744","1,341",761,755,"1,364",924,"1,598",709,652,"2,532","2,783","2,743","1,870"
2010,Somerset,"115,913","2,400","12,690","10,879","3,558","15,162","1,921","16,234","3,395","4,132","2,979","3,983","2,686","5,915","9,898","17,447","2,634"
2010,Sussex,"54,881","1,136","7,910","5,017","1,244","4,714","1,527","4,107","1,694","2,332","2,049","1,810","2,013","4,162","5,203","8,209","1,754"
2010,Union,"183,882","6,138","18,540","12,838","7,267","11,796","8,033","17,039","6,982","7,339","7,177","7,990","8,382","12,687","19,256","21,678","10,740"
2010,Warren,"41,208","1,644","4,492","3,317","1,305","3,291","2,276","2,396","1,607","1,101","1,151","1,774","1,306","2,966","4,432","6,248","1,902"
2011,Atlantic,"99,762","4,867","8,840","5,760","4,656","4,123","5,603","3,191","5,128","6,232","4,682","5,730","3,113","7,998","8,826","11,676","9,337"
2011,Bergen,"329,544","9,539","32,404","23,900","12,332","33,970","14,012","40,602","11,704","11,557","10,291","12,020","9,593","21,266","29,440","41,119","15,795"
2011,Burlington,"164,760","3,711","18,077","12,918","5,564","14,491","7,223","11,358","6,622","6,522","5,879","6,853","7,512","11,960","17,713","23,313","5,044"
2011,Camden,"185,691","10,262","18,805","11,760","8,450","10,180","8,442","7,638","6,671","9,131","8,341","8,301","7,709","14,245","17,835","24,286","13,635"
2011,Cape May,"41,082","1,907","2,909","2,700","2,561","1,738","1,454","1,622","2,314","2,153","2,032","2,621","1,556","4,156","3,549","5,372","2,438"
2011,Cumberland,"49,716","2,367","4,325","1,856","2,605","1,443","3,249","1,019","3,291","2,275","2,433","2,779","2,159","3,826","5,338","7,875","2,876"
2011,Essex,"273,399","17,170","18,581","13,139","15,402","15,863","14,528","23,459","11,889","14,708","12,547","9,665","10,258","18,252","23,674","26,068","28,196"
2011,Gloucester,"103,725","3,302","11,419","8,217","4,583","10,014","3,714","5,395","4,524","4,188","3,260","4,278","3,958","8,007","9,999","15,557","3,310"
2011,Hudson,"243,850","13,278","21,469","13,110","12,763","14,647","12,340","14,495","10,693","12,117","9,590","10,251","8,734","16,718","24,662","29,443","19,540"
2011,Hunterdon,"46,741",515,"6,587","4,112","1,699","4,721","1,060","7,735","1,166","1,803",986,745,"1,431","2,259","3,726","6,880","1,316"
2011,Mercer,"130,756","4,894","13,512","8,122","6,101","11,633","4,465","13,567","3,622","4,260","5,172","4,163","5,465","7,582","12,017","17,784","8,397"
2011,Middlesex,"278,920","9,719","31,721","23,345","10,694","23,587","10,710","21,054","10,829","10,671","9,232","9,688","10,197","20,886","26,028","39,128","11,431"
2011,Monmouth,"231,198","8,163","24,945","16,631","10,090","23,890","8,411","27,195","8,531","8,166","8,303","7,779","6,668","15,610","19,786","28,442","8,588"
2011,Morris,"182,745","4,095","22,572","14,399","6,019","19,664","4,829","26,536","4,651","3,515","5,224","4,573","5,548","12,256","17,308","25,823","5,733"
2011,Ocean,"222,079","10,286","21,484","12,128","13,396","12,307","13,515","8,857","11,878","11,462","10,667","10,785","7,905","15,953","23,030","28,642","9,784"
2011,Passaic,"163,192","8,606","12,884","10,122","8,127","10,513","8,350","7,390","9,861","7,408","7,906","6,563","6,505","11,099","13,452","19,790","14,616"
2011,Salem,"24,656","1,100","2,559","1,402","1,914",920,"1,135",610,669,"1,139","1,049","1,455","1,184","2,267","2,228","3,329","1,696"
2011,Somerset,"114,323","2,754","12,780","10,539","2,735","13,526","2,487","18,277","2,224","3,253","3,179","3,711","2,679","6,967","10,243","15,397","3,572"
2011,Sussex,"54,746","1,829","6,646","5,772","1,313","4,630","2,220","4,581","1,438","2,053","1,075","2,304","1,846","3,398","5,458","8,858","1,325"
2011,Union,"184,598","6,688","18,240","11,968","8,465","13,919","7,480","16,417","8,133","7,746","6,809","7,486","5,941","13,964","17,461","22,774","11,107"
2011,Warren,"42,146","2,008","4,554","2,537","1,880","3,671","1,739","2,183","1,355","1,934","1,192","2,019","2,084","3,377","4,951","5,180","1,482"
2012,Atlantic,"100,065","5,221","7,947","4,989","6,507","5,148","5,693","2,792","4,696","5,512","4,531","5,054","4,473","8,281","10,463","11,881","6,877"
2012,Bergen,"336,856","11,047","38,177","24,795","9,834","35,925","9,240","42,048","11,823","13,378","11,411","10,343","7,929","21,918","29,122","40,643","19,223"
2012,Burlington,"164,819","4,739","18,284","11,622","5,667","13,895","5,666","13,216","6,283","6,114","5,124","7,441","6,542","12,582","16,496","25,111","6,037"
2012,Camden,"185,477","8,170","16,170","12,275","9,281","11,237","9,094","9,277","7,874","8,885","8,088","6,688","6,908","13,554","18,673","24,513","14,790"
2012,Cape May,"40,470","1,424","3,532","1,625","2,165","2,931","2,213","1,419","2,939","1,195","2,054","1,279","2,207","3,886","4,577","4,977","2,047"
2012,Cumberland,"50,068","3,555","3,310","2,460","3,031","2,233","2,742",989,"2,235","2,637","2,520","2,119","2,979","3,405","4,548","6,204","5,101"
2012,Essex,"279,102","17,501","19,382","12,559","15,501","16,653","14,586","23,239","13,969","14,803","13,034","10,225","10,308","18,109","22,943","28,799","27,491"
2012,Gloucester,"104,691","4,070","12,565","9,073","3,460","9,208","3,593","5,627","3,161","4,082","3,881","3,468","3,783","8,077","11,735","14,747","4,161"
2012,Hudson,"249,028","14,368","22,821","14,354","12,395","18,406","13,012","16,535","11,206","10,422","9,146","7,260","10,247","18,626","21,150","28,198","20,882"
2012,Hunterdon,"47,227",856,"5,366","4,365","1,628","6,966",895,"8,018","1,473",795,"1,226",957,"1,093","2,908","3,732","5,875","1,074"
2012,Mercer,"132,004","3,996","13,717","7,443","5,252","11,424","5,172","13,470","5,212","6,792","5,038","3,691","4,240","9,870","12,657","14,928","9,102"
2012,Middlesex,"283,337","8,932","32,473","19,874","10,299","27,636","9,269","24,356","11,130","9,712","11,778","8,030","8,444","18,329","28,119","41,674","13,282"
2012,Monmouth,"236,447","7,727","25,477","18,080","8,076","25,989","6,959","27,607","8,553","8,013","8,469","7,315","7,037","14,441","21,884","30,201","10,619"
2012,Morris,"179,876","3,315","21,462","15,344","3,942","21,469","5,695","27,345","4,080","5,353","4,790","4,643","6,591","10,012","15,886","24,667","5,282"
2012,Ocean,"223,599","10,178","19,879","12,762","11,531","15,546","10,914","9,879","13,193","9,855","9,542","9,263","10,123","17,605","22,893","29,859","10,577"
2012,Passaic,"163,712","9,017","16,026","8,846","8,450","11,609","8,330","9,758","7,164","6,892","6,875","6,275","5,583","11,890","14,557","19,935","12,505"
2012,Salem,"24,861","1,194","2,628","2,029","1,323","1,090","1,035",655,916,782,823,"1,399","1,084","1,885","2,854","3,263","1,901"
2012,Somerset,"116,840","2,522","14,842","8,560","2,560","15,148","3,078","17,698","4,667","3,752","3,728","2,450","3,240","6,838","10,233","14,402","3,122"
2012,Sussex,"54,179","1,976","7,497","5,237","1,707","5,470","1,645","3,527","1,582","1,459","1,072","2,438","1,908","3,356","5,084","8,988","1,233"
2012,Union,"184,879","7,480","18,253","10,750","7,999","12,140","7,982","17,202","7,286","8,644","8,369","6,692","7,302","14,388","16,857","23,606","9,929"
2012,Warren,"41,262",965,"4,941","3,232","1,684","2,687","1,586","1,433","1,704","1,399","2,218","1,826","1,542","3,664","4,305","7,005","1,071"
