Year,County,Low Income,Moderate Income,High Income,Very High Income,Total Income
2016,Atlantic,44013.00,26621.00,14217.00,11926.00,96777.00
2016,Bergen,92399.00,84866.00,61881.00,98081.00,337227.00
2016,Burlington,46998.00,53575.00,32071.00,33218.00,165862.00
2016,Camden,71802.00,55957.00,29035.00,28718.00,185512.00
2016,Cape May,15579.00,11463.00,7009.00,4844.00,38895.00
2016,Cumberland,25704.00,16520.00,5544.00,3019.00,50787.00
2016,Essex,130609.00,67630.00,35058.00,47437.00,280734.00
2016,Gloucester,33053.00,30914.00,22230.00,19239.00,105436.00
2016,Hudson,100871.00,67514.00,38311.00,46625.00,253321.00
2016,Hunterdon,9404.00,10962.00,9694.00,17135.00,47195.00
2016,Mercer,41914.00,36150.00,21954.00,28314.00,128332.00
2016,Middlesex,86158.00,81644.00,55187.00,60672.00,283661.00
2016,Monmouth,65826.00,59292.00,42035.00,63616.00,230769.00
2016,Morris,38273.00,44391.00,37082.00,61313.00,181059.00
2016,Ocean,92137.00,66886.00,36990.00,28295.00,224308.00
2016,Passaic,68995.00,42829.00,26149.00,25895.00,163868.00
2016,Salem,11081.00,7465.00,3127.00,2522.00,24195.00
2016,Somerset,26431.00,27208.00,22600.00,39930.00,116169.00
2016,Sussex,12770.00,16771.00,10858.00,11579.00,51978.00
2016,Union,64822.00,54385.00,29004.00,39711.00,187922.00
2016,Warren,12761.00,11906.00,8872.00,6973.00,40512.00
2017,Atlantic,42936.00,25455.00,16836.00,12391.00,97618.00
2017,Bergen,89585.00,88755.00,63372.00,96804.00,338516.00
2017,Burlington,43080.00,52287.00,33303.00,35578.00,164248.00
2017,Camden,74303.00,55439.00,31068.00,29806.00,190616.00
2017,Cape May,13914.00,13603.00,6974.00,5035.00,39526.00
2017,Cumberland,23800.00,14924.00,7970.00,4002.00,50696.00
2017,Essex,122501.00,69604.00,37145.00,55678.00,284928.00
2017,Gloucester,30299.00,30807.00,22673.00,21457.00,105236.00
2017,Hudson,98530.00,64926.00,36945.00,51505.00,251906.00
2017,Hunterdon,8749.00,11040.00,9555.00,16623.00,45967.00
2017,Mercer,43318.00,33542.00,21515.00,30382.00,128757.00
2017,Middlesex,79376.00,84304.00,55324.00,66442.00,285446.00
2017,Monmouth,59813.00,59577.00,42520.00,73817.00,235727.00
2017,Morris,36498.00,41694.00,37655.00,65007.00,180854.00
2017,Ocean,80634.00,70287.00,39885.00,35041.00,225847.00
2017,Passaic,66758.00,50538.00,25102.00,25999.00,168397.00
2017,Salem,10707.00,6813.00,4091.00,3190.00,24801.00
2017,Somerset,24131.00,27166.00,22192.00,41323.00,114812.00
2017,Sussex,13683.00,16192.00,11894.00,11627.00,53396.00
2017,Union,64197.00,51442.00,34249.00,40250.00,190138.00
2017,Warren,12569.00,12906.00,8377.00,7514.00,41366.00
2018,Atlantic,38006.00,30454.00,15962.00,12559.00,96981.00
2018,Bergen,90426.00,78617.00,62082.00,108828.00,339953.00
2018,Burlington,44807.00,52665.00,31427.00,37799.00,166698.00
2018,Camden,73317.00,51728.00,33698.00,30097.00,188840.00
2018,Cape May,14459.00,12681.00,5620.00,6448.00,39208.00
2018,Cumberland,24211.00,14914.00,6868.00,4041.00,50034.00
2018,Essex,119140.00,74362.00,38132.00,58287.00,289921.00
2018,Gloucester,29850.00,29997.00,20479.00,21088.00,101414.00
2018,Hudson,94410.00,70016.00,41014.00,58484.00,263924.00
2018,Hunterdon,10097.00,11115.00,8917.00,17604.00,47733.00
2018,Mercer,42570.00,36050.00,23853.00,30507.00,132980.00
2018,Middlesex,78638.00,79481.00,57092.00,70269.00,285480.00
