OBJECTID,Block Group identifier,Population for poverty,Population in households under 2 times poverty,Percent Low Income,Total Population,Population Not Hispanic or Latino only,Total Minority,Percent Minority,Total Households,Households with Limited English Proficiency,Percent Households with Limited English Proficiency,Overburdened Community Criteria,Block Group - Tribal,Block Group County Subdivision,County,Municipality,Municipality Code,Split Block Group,Split Municipality,GLOBALID,SHAPE_Length,SHAPE_Area
1,3.4001E+11,974,672,68.99383984,988,91,897,90.78947368,348,79,22.70114943,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{5BC0706F-A3EE-4904-BEC7-E8F1B14FA2B4},13286.6714,10712127.44
2,3.4001E+11,1357,794,58.51142225,1357,451,906,66.76492262,536,73,13.61940299,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{CCAC5FE1-D065-4D3B-8F21-CFFDBC412484},17681.07467,12655092.92
3,3.4001E+11,2239,1030,46.00267977,2239,356,1883,84.10004466,805,193,23.97515528,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{168EFCA5-89B6-487B-8FCB-12156A8A3D28},15404.43535,9261212.748
4,3.4001E+11,411,156,37.95620438,411,88,323,78.58880779,200,101,50.5,"Low Income, Minority, and Limited English",Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{4F9E079F-6F08-441B-BC1D-860944FFE05C},7958.923071,1722495.286
5,3.4001E+11,1405,950,67.61565836,1405,36,1369,97.43772242,719,154,21.418637,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{E4BEF174-0958-43F4-9075-76C1A4A6701A},6313.849483,2116195.207
6,3.4001E+11,1068,940,88.01498127,1068,107,961,89.98127341,594,86,14.47811448,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{71BA8DE1-DBCF-42DF-9EBB-D868FFD1A67E},5490.118005,1711552.624
7,3.4001E+11,1065,626,58.77934272,1065,58,1007,94.55399061,350,100,28.57142857,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{6D540EEE-651E-441A-843B-C1881DA98B5B},6284.621766,1715035.144
8,3.4001E+11,2172,1317,60.63535912,2172,90,2082,95.85635359,612,253,41.33986928,"Low Income, Minority, and Limited English",Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{5F25FF95-23EE-47B6-B444-D260FE8D7EF8},5076.604819,1215031.584
9,3.4001E+11,855,404,47.25146199,855,331,524,61.28654971,422,110,26.06635071,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{5A95ABE5-849D-4675-82F5-6DA1FFB74455},4823.922245,1492873.162
10,3.4001E+11,876,673,76.82648402,876,113,763,87.10045662,252,8,3.17460317,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{00F0404D-9F80-4F38-BCE7-1DDB9FAE182C},4981.039539,1294018.675
11,3.4001E+11,2166,1337,61.72668513,2166,132,2034,93.90581717,751,136,18.10918775,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{BBAE6B8A-8723-4C70-9167-705391D86F70},7806.452921,2509992.292
12,3.4001E+11,563,321,57.01598579,563,39,524,93.07282416,435,29,6.66666667,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{49791E53-6BF3-4844-B84F-137364D06455},5082.763336,1607297.78
13,3.4001E+11,861,319,37.04994193,861,20,841,97.67711963,440,0,0,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{B7B71F10-0FAB-4400-820B-DF649CF264B0},15177.24027,7240200.299
14,3.4001E+11,465,223,47.95698925,465,84,381,81.93548387,167,80,47.90419162,"Low Income, Minority, and Limited English",Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{0E03E815-7726-4111-AD39-B15AF2A074BD},9928.464956,4811884.317
15,3.4001E+11,1150,739,64.26086957,1189,547,642,53.99495374,707,80,11.31541726,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{0A915919-3ED2-4420-9452-083A9AB4FF01},8044.905149,3178817.216
16,3.4001E+11,450,150,33.33333333,450,37,413,91.77777778,252,0,0,Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{2B1C80ED-89AD-4FE0-BE9E-3966D85444C3},12197.5674,4464054.436
17,3.4001E+11,1376,471,34.22965116,1376,51,1325,96.29360465,548,20,3.64963504,Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{499B913A-2B2D-46D1-AA8B-B8D0924BA6F0},92181.45173,298879969.2
18,3.4001E+11,807,590,73.11028501,807,217,590,73.11028501,351,61,17.37891738,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{6AA7F25C-AE80-4A46-8118-EDAB4264387F},17123.0821,12391617.36
19,3.4001E+11,1603,1153,71.92763568,1606,245,1361,84.74470735,638,80,12.53918495,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{6571C497-9A72-4FEE-B79C-7F31B8A0B9EF},7181.194591,2686153.68
20,3.4001E+11,1224,596,48.69281046,1224,69,1155,94.3627451,644,47,7.29813665,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{0376C7F6-07C5-4DD3-BE73-45A570C10065},5360.302361,1507139.117
21,3.4001E+11,1033,359,34.75314618,1033,1,1032,99.90319458,413,0,0,Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{C385E715-A9B8-4D63-9C26-4B122078E83D},5948.339187,1722226.14
22,3.4001E+11,1311,1205,91.91456903,1323,27,1296,97.95918367,545,151,27.70642202,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{07420733-DF56-406E-8E6F-7ECF926FE615},20619.26199,22763659.54
23,3.4001E+11,936,298,31.83760684,936,262,674,72.00854701,248,0,0,Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{595AF5E7-9780-43EF-8F96-00F93F959461},11140.45919,4363266.94
24,3.4001E+11,266,178,66.91729323,266,19,247,92.85714286,191,10,5.23560209,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{17A92EF9-49C8-4949-80B2-C80CDE75AAAE},5437.857087,1517923.723
25,3.4001E+11,1120,827,73.83928571,1120,55,1065,95.08928571,289,99,34.25605536,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{2BBC4D44-35C9-4BD5-8B1D-3FD7F7A0DE50},11668.48188,7928733.503
26,3.4001E+11,1631,1185,72.654813,1696,196,1500,88.44339623,515,112,21.74757282,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{5F20D5FC-41FE-4431-AF22-9A5B39E0DBBA},8554.156123,4385646.838
27,3.4001E+11,581,396,68.15834768,581,0,581,100,183,19,10.38251366,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{C86E2C74-6295-42CB-A18D-564375A4D54A},10166.89487,2437201.288
28,3.4001E+11,640,594,92.8125,640,331,309,48.28125,352,86,24.43181818,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{79B33FAB-186B-4645-80A3-81F3BA966C04},17794.51373,18649305.02
29,3.4001E+11,562,513,91.28113879,562,115,447,79.53736655,192,0,0,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{C7D4CE13-67B0-44AE-900D-35AE75271FE5},8276.912256,3577875.231
30,3.4001E+11,1083,970,89.56602031,1083,180,903,83.37950139,617,58,9.40032415,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{5E28205D-139F-4E54-B8AD-18112CB4C3E7},11630.83789,3165178.41
31,3.4001E+11,2369,813,34.31827775,2369,936,1433,60.48965808,622,76,12.21864952,Minority,Block group,3400125560,ATLANTIC,Galloway Twp,111,Not a split block group,Not Applicable,{6451210A-A749-4B1E-8DE2-AA096993810B},53804.34009,61054972.97
32,3.4001E+11,1133,825,72.81553398,1133,178,955,84.28949691,502,91,18.12749004,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{F1A2700E-C3D7-4C3C-AEBD-74E1EBF8CAC7},5160.557984,1107194.617
33,3.4001E+11,484,301,62.19008264,484,250,234,48.34710744,431,9,2.08816705,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{D94655B5-CE2D-4350-97D6-3E3B9B26A58D},12418.21259,7273912.205
34,3.4001E+11,692,386,55.78034682,692,318,374,54.04624277,381,9,2.36220472,Low Income and Minority,Block group,3400107810,ATLANTIC,Brigantine City,103,Not a split block group,Not Applicable,{8A2C2F0D-A4B9-4D7A-B1A9-B7B97E60F754},7407.364172,2210326.99
35,3.4001E+11,661,448,67.77609682,1061,108,953,89.82092366,295,97,32.88135593,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{1941A760-E109-45DD-A1BA-633F4B451794},5708.865175,2017686.517
36,3.4001E+11,623,394,63.2423756,623,17,606,97.27126806,186,0,0,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{C429194C-4ED6-48BC-9706-887CF2240E9F},7941.134909,2841648.023
37,3.4001E+11,212,24,11.32075472,309,49,260,84.14239482,135,59,43.7037037,Minority and Limited English,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{373A910C-A15E-489F-A208-325C1D3ACB9A},8870.599409,2444661.107
38,3.4001E+11,1758,1100,62.57110353,1758,462,1296,73.72013652,1214,57,4.69522241,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,102,Not a split block group,Not Applicable,{E126C21D-450D-4806-B8F8-DD32D11BF5EC},13019.70085,8585076.188
39,3.4001E+11,634,264,41.64037855,635,366,269,42.36220472,314,0,0,Low Income and Minority,Block group,3400100100,ATLANTIC,Absecon City,101,Not a split block group,Not Applicable,{A1876C15-E6A6-4DB9-81F1-A8F909AC9385},12382.5524,6697723.05
40,3.4001E+11,1326,367,27.67722474,1326,250,1076,81.14630468,612,25,4.08496732,Minority,Block group,3400100100,ATLANTIC,Absecon City,101,Not a split block group,Not Applicable,{D47BDE97-532D-47F6-BACF-1085728B5F56},23749.65686,33727932.07
41,3.4001E+11,701,218,31.09843081,722,260,462,63.98891967,264,0,0,Minority,Block group,3400125560,ATLANTIC,Galloway Twp,111,Not a split block group,Not Applicable,{C2AE9894-E8DB-49A4-B9E6-58C616B7492F},71466.02682,177348105.9
42,3.4001E+11,1328,62,4.6686747,1456,476,980,67.30769231,374,49,13.10160428,Minority,Block group,3400125560,ATLANTIC,Galloway Twp,111,Not a split block group,Not Applicable,{372E385B-7250-4B7D-AD58-83025BB89B12},16819.22586,14184171.01
43,3.4001E+11,4456,1155,25.92010772,4748,1457,3291,69.31339511,1325,0,0,Minority,Block group,3400125560,ATLANTIC,Galloway Twp,111,Not a split block group,Not Applicable,{CDD71A8F-8A20-418B-A3B7-76D490DD249A},36233.8651,24072025.33
44,3.4001E+11,878,264,30.06833713,878,242,636,72.43735763,473,40,8.45665962,Minority,Block group,3400125560,ATLANTIC,Galloway Twp,111,Not a split block group,Not Applicable,{955061C8-B8D3-4F24-A90E-D20B678EA45D},16441.29186,15275443.2
45,3.4001E+11,1447,305,21.07809261,1447,663,784,54.18106427,553,0,0,Minority,Block group,3400125560,ATLANTIC,Galloway Twp,111,Not a split block group,Not Applicable,{4AC384C6-682B-42C0-A242-12F1CA6BAA18},20744.62497,24029875.46
